source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
6973,SMR-TCT-HOL-SAW-30MM,PCS,reject,,,0,0,0,,,,1,,,Unbranded commodity TCT holesaw; no brand or model string in item_code/display_name to verify against any OEM PDP
6052,SAF-SLI-GLO-2TON4M,LGTH,pending,,,0,0,0,,,,1,q:glolift webbing sling 2 ton 4M lifting [429] | q:glolift webbing sling 2 ton Malaysia [429],,'glolift' looks like a real sling brand; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
7450,TOO-WRE-OIL-FW-7008B,PCS,pending,,,0,0,0,,,,1,q:Fiesto oil filter wrench 7008B chain type | q:Fiesto oil filter wrench Malaysia [429],,"Tier-1 hit only Lazada MY listing '220mm/300mm/400mm FW-7008 CHAIN TYPE OIL FILTER WRENCH' (marketplace, not admissible when OEM exists); no OEM/authorised-distributor page surfaced before search quota died; next pass T2 distributor/B2B catalogue for brand Fiesto model FW-7008B"
7394,CAR-WAX-REPELL,PCS,pending,,,0,0,0,,,,1,,,Lizard Repellent 500ML carries no brand/model in name; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
7675,SHH-BAS-WIR-WB12G,PCS,reject,,,0,0,0,,,,1,,,"Generic gold wire basket (electrical); house-label commodity, no brand/model to match"
7361,"CUT-PAR-18""""",PCS,reject,,,0,0,0,,,,1,,,"Plain 18in parang, unbranded commodity cutting tool; no official OEM page expected"
5674,SPR-BID-06093,SET,pending,,,0,0,0,,,,1,,,Possible brand strings ETS / Elise / model 302 / code 06093; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
7448,SHH-NYL-NET-6,PCS,reject,,,0,0,0,,,,1,,,"Automatic nylon fishing mesh net, unbranded commodity tackle; no verifiable OEM"
7386,CAR-ARMOR-PROTECT,PACK,candidate,https://www.armorall.my/protectant,https://www.armorall.my/images/protectant/AA_Protectant%20Gloss_300ml.png,0,0,300662,yes,yes,high,1,q:Armor All protectant 300ML Malaysia official,p:https://armorall.com/my/product/protectant-gloss-finish/(200) | p:https://www.armorall.my/protectant(200),Official Armor All MY site (footer: (c) Energizer Auto) lists ARMOR ALL(R) PROTECTANT 300ML with dedicated SKU image AA_Protectant Gloss_300ml.png; byte check 200 image/png 300662; armorall.com/my PDP hero is JS-loaded so used armorall.my asset instead
5181,TOO-ELE-GUN-GLU-60W,SET,reject,,,0,0,0,,,,1,,,"Generic 60W glue gun, no brand/model in item data; unbranded commodity"
5838,TOO-ELE-GUN-PIN-60W,PCS,reject,,,0,0,0,,,,1,,,"Generic 60W soldering iron gun, no brand/model; unbranded commodity"
7469,CAR-WAX-MOS-CLE,PCS,pending,,,0,0,0,,,,1,,,'MCS Super Mosaic Clean 500ML' - MCS suspected Malaysian car-care brand; websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass
7692,GUN-H/D-10-1/2'',PCS,reject,,,0,0,0,,,,1,,,"Heavy-duty revolving caulking gun 10-1/2in, unbranded commodity; no model string"
7478,"TOO-DRV-STA-TAN-8MM-10""-#3+",PCS,pending,,,0,0,0,,,,1,,,STA prefix maps to Stanley per playbook ('Tank Thru' screwdriver 8MM x 10 x 3 (+)); websearch API returned HTTP 429 for nearly the whole session; further tier-1 queries blocked this pass; needs T2 model normalisation next pass
