source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
5815,TOO-DRV-KT150+,PCS,6 King Top (+) Screw Driver,Fasteners & Fixings,King Top,,open,1,1,1,,,,,,,B,,,,unknown,,,,"action=search; q:""King Top"" screwdriver site:.com.my; q:""kingtop"" OR ""king top"" screwdriver ""6"" philips; p:https://search.yahoo.com/search?q=%22King+Top%22+screwdriver+site%3A.com.my; 'King Top' appears to be an import/house brand; no OEM site or distributor product page exists anywhere (only unrelated 'King Toyo' results). No verifiable source for KT150+ screwdriver.; tier1_no_result",
5927,BRA-S/STEEL-25MM-MMD25(D),PCS,25MM S/steel Bracket,Plumbing,,,open,1,1,1,,,,,,,B,,,,unknown,,,,"action=search; q:""MMD25"" stainless steel bracket Malaysia; q:""MMD25""; ; 'MMD25' resolves only to a Vishay electronics connector; no bracket OEM or Malaysian distributor page exists. Appears to be an internal supplier code for a generic 25mm stainless bracket.; tier1_no_result",
7309,BRA-S/S-MULTI-S,PCS,Multi Functional S/steel Angle Bracket S Size,Plumbing,MR Bison,MR BISON BRAND MULTI FUNCTIONAL STAINLESS STEEL ANGLE BRACKET ABSSS ABSSM ABSSL ,open,1,1,1,https://www.litaventure.com/showproducts/productid/4441980/cid/417527/mr-bison-brand-multi-functional-stainless-steel-angle-bracket-absss-abssm-abssl-abssxl/,,,,,,C,,,ABSSS = S size variant of S/M/L/XL range,unknown,,,,"action=search; q:""multi functional"" ""angle bracket"" stainless steel malaysia; p:https://r.jina.ai/https://www.litaventure.com/showproducts/productid/4441980/cid/417527/mr-bison-brand-multi-functional-stainless-steel-angle-bracket-absss-abssm-abssl-abssxl/; Exact S-size match on Lita Venture (Penang supplier); title string confirmed via search-index snippet, but site is JS-challenge-blocked so page body/direct image URL could not be captured.; tier1_blocked",
6573,BRU-CON-CRM611,PCS,Contour Washing Brush 611,Other,RAYACO,(611) WAIST SHAPE WASHING HAND BRUSH (HARD),verified_pass,1,1,1,https://www.rayaco.com.my/showproducts/productid/5115714/611-waist-shape-washing-hand-brush-hard/,https://cdn1.npcdn.net/images/1721800533782686b908085281bf8b03d2099ec784.webp?md5id=2db57e442e48e8860facef49e0a8f2dc&new_width=1000&new_height=1000&size=max&w=1770278800&from=jpg&type=9,557,557,72128,c364f5d3a783cf3f84a86d505d9aaa8fd991a0faa021a3aaaaba3a301e848f47,A,yes,yes,Model Code :611; Barcode 9555221300121; hard contour/waist-shape washing brush,needs_permission,candidate,pass,,"action=search; q:""contour"" washing brush 611; p:https://www.rayaco.com.my/showproducts/productid/5115714/611-waist-shape-washing-hand-brush-hard/; rayaco.com.my is manufacturer Perusahaan Cemerlang Raya Sdn Bhd's own site; model code 611 matches Ekoway CRM611 ('Contour' = waist-shape brush marketed locally as Rayaco Contour Washing Brush 611). 1000px webp on brand CDN.",request_image_rights_from_RAYACO
6640,BRA-SHE-1012,PAIR,10 X 12 Shelf Bracket,Housewares,B-Tani,"B-Tani Heavy Duty L Shelf Bracket 3.8 MM (T) x 1 1/4"" (W) x 10"" x 12""",verified_pass,1,1,1,https://www.ewarehouse.my/BTani-Heavy-Duty-L-Shelf-Bracket-3-8-MM-T-x-1-1-4-W-x-10-x-12,https://www.ewarehouse.my/image/cache/catalog/products/6331/b-tanicen1-550x550.jpg,550,550,21829,f1406b5fd6cafaedd75d1ad9756e13d49b25db6b13972c170b71c7680eaefbe2,B,yes,yes,"Size 10"" x 12"", black, made in Malaysia; Model BTANI-LSB10X12",unknown,candidate,pass,,"action=search; q:""shelf bracket"" ""10 x 12"" malaysia stainless; p:https://www.ewarehouse.my/BTani-Heavy-Duty-L-Shelf-Bracket-3-8-MM-T-x-1-1-4-W-x-10-x-12; ATKC eWarehouse (Malaysian retailer) lists the exact 10""x12"" size variant with its own photo; B-Tani authorised status not verifiable online. Photo is 550px.",request_image_rights_from_B-Tani
3688,MAR-PAI-WHITE,PCS,Mungyo Paint Marker:white,Paint & Sundries,MUNGYO,Paint Marker,open,1,1,1,https://en.mungyo.co.kr/shop_view/?idx=67,https://cdn-optimized.imweb.me/upload/S202409028ec5f2e2d14cd/bd24131a744e9.jpg?w=750,750,750,23344,64928f259fdbf8907bcc8f80ee5edf6880e18990c26ced48d38832523b1e134e,B,yes,no,"Oil-based paint marker, Industrial-use line, 12 colours incl. white; 750px official image",needs_permission,candidate,pass,,"action=search; q:site:mungyo.com paint marker; q:""mungyo paint marker"" buy -shopee -lazada; p:https://en.mungyo.co.kr/shop_view/?idx=67; Official MUNGYO global page for the Paint Marker model; white is one of its 12 colours. Page shows model-family images rather than a white-specific shot. www.mungyo.com unreachable (transport error), en.mungyo.co.kr used instead.; verifier_disagreement:Genuine white MUNGYO paint marker but page titles generic 'Paint Marker' family without white-variant designation.",
7339,DOR-PAD-KTSS100,SET,4 King Top S/steel Surface Bolt,Fasteners & Fixings,King Top,,open,1,1,1,,,,,,,B,,,,unknown,,,,"action=search; q:""KTSS100"" OR ""king top"" ""surface bolt""; q:""King Top"" screwdriver malaysia; ; 'King Top' house/import brand again (same brand prefix as pos 5815); KTSS100 matches only a Bussmann fuse elsewhere. No OEM or distributor page for a King Top stainless surface bolt exists online.; tier1_no_result",
4043,TOO-WRE-KEY-ASUMA-MALK001-A,SET,8PCS (mm) Asuma Alenkey,Power Tools,ASUMA,ASUMA BRAND HEX KEY SET - MALK001A,open,1,1,1,https://www.litaventure.com/showproducts/productid/5997881/cid/411159/asuma-brand-hex-key-set-malk001-a/,https://cdn1.npcdn.net/images/1f038035bb5ff9397298775cbf05ed8a_1755052518.webp?md5id=50ae0ce8c27842532dcd83c3678302bc&new_width=1000&new_height=1000&size=max&w=1657949317&from=jpeg&type=9,1000,1000,185260,86058eeb37ff7d67e1c3b7478d9c0c4197fa2b0ceda25758a948bb84c67f267a,B,yes,no,Brand: ASUMA; Category HAND TOOLS; metric hex key set (A = 8pcs mm set vs MALK001C sibling),unknown,candidate,pass,,"action=search; q:asuma allen key set malaysia; q:""malk001a""; p:https://r.jina.ai/https%3A%2F%2Fwww.litaventure.com%2Fshowproducts%2Fproductid%2F5997881%2Fcid%2F411159%2Fasuma-brand-hex-key-set-malk001-a%2F; Lita Venture Hardware Sdn Bhd (Penang supplier) page fully rendered via reader proxy; heading 'ASUMA BRAND HEX KEY SET - MALK001A', Brand ASUMA quoted from returned text. Item code MALK001-A matches exactly. 1000px webp. Authorised status unverified.; verifier_disagreement:Litaventure page JS-gated so no model string obtainable from page text; image shows ASUMA MALK001-A 8pc mm hex key set.",
6850,MIDDY-END-CAP-LEFT-WHT,PCS,Middy: End Cap - Left (white),Other,MIDDY,End Cap -Left,open,1,1,1,https://www.wthardware.my/products/middy-pvc-g100-rain-gutter-pancur,,,,,,C,,,"Variant list on page: G100 Gutter / End Cap -Left / End Cap -Right / Socket / Outlet 3"" ... ; official OEM is MIDDY INDU",unknown,,,,"action=search; q:middy end cap left white; q:site:middy.com.my end cap; q:ewarehouse middy g100 end cap; q:""middy"" gutter ""end cap"" white left; q:site:middy.com.my white series gutter; p:https://middy.com.my/product/; p:https://www.ewarehouse.my/Middy-G100-End-CapStopper-Left--Right-Pair-Grey; p:https://inghinghong.com.my/showproducts/productid/4237340/middy-end-cap-left-right/; p:https://b2b.sunwaywinstar.com/en/md-end-caprightleft-fgutter-g100-wht-78ctn; p:https://www.wthardware.my/products/middy-pvc-g100-rain-gutter-pancur; Correct item identified as MIDDY G100 PVC rain-gutter End Cap L/R, white. Official middy.com.my only hosts series-level pages + catalogue PDF (END CAP L&R inside PDF, no croppable direct image URL). Wang Thong Hardware lists the exact 'End Cap -Left' variant but shows only system illustration images. eWarehouse photo (products/25641/G100_End_Cap_1) is the grey pair (MDG100-ESLR) - wrong colour; Sunway Winstar white listing now 404s; Ing Hin Hong page JS-blocked. No permitted direct image of the white LEFT cap found.; tier1_blocked",
4419,HHD-FLO-BAL-18MM,PCS,3/4 Poly Ball Only Black Colour,Bathroom,,,open,1,1,1,,,,,,,B,,,,unknown,,,,"action=search; q:""poly ball"" 3/4 OR 18mm black malaysia; q:""poly ball"" ""bottle trap"" OR ""floor drain""; ; Unbranded generic commodity (replacement polyethylene float/seal ball, 18mm/3-4in, black) sold loose; no OEM or branded product page exists anywhere. Marketplace-only listings, which are excluded by rules.; tier1_no_result",
