row_id,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
1,BOS-2608-634-994,PCS,pass,n/a,yes,"Bosch page states 'Order number 2 608 634 994' and 'Part number 2608634994' for PRO Multi Material thick and thin T345XF jigsaw blade; image o466193v82_2608634994_bo_pro_u_f_1.png is cited on-page as the selected-variant product shot"
2,VAC-DEC-BHFEA18D1,UNIT,pass,n/a,yes,"Official B+D page is a genuine product page for 'POWERSERIES+ 20V MAX Cordless Stick Vacuum Kit' with model 'BHFEA18D1' printed under the title; image Ecomm_Large-BHFEA18D1_5.jpg is the model-named product photo used on the page"
3,WEL-MAC-STA-MIG160,UNIT,pass,n/a,yes,"Sunway Winstar B2B product page titled '(R) NIETZ STARWELD SKILL WELDING MACHINE 1KG C/W ACCESSORIES MIG160' with Part number NZWPMIG160; image is the page's own main product photo (0000631_r-nietz-starweld-skill-welding-machine-1kg-cw-accessories-mig160-skill)"
4,SIN-CAB-CKS315,PCS,pass,no,yes,"Cabana page heading '# CKS315' Top Mount Kitchen Sink L960xW470xH250mm with product image CKS315-01.jpg linked directly; however S/steel material is not stated anywhere in page text so finish unconfirmed (no mismatch)"
5,FAN-CEI-KDK-K14PH-WA-56"",PCS,pass,yes,yes,"KDK page spec table reads MODEL K14PH-WA / COLOR WOOD ACACIA / DIMENSION 56 inch/140CM / MOTOR TYPE DC matching display name; image product-thumbnail_K14PH-WA.png is variant-specific (siblings K14PH-PBR and K14PH-EY have their own thumbnails)"
6,DC-DCKIT36BK,SET,pass,n/a,yes,"dongchengmalaysia.com genuine combo-package page headed 'DCKIT36BK' with 'Battery 12VMAX/2.0Ah x 2' matching the '(2.0AH X2)' kit name; image DCKIT36TYPE-BK.jpg is model-specific (sibling kits use separate photos)"
7,PUM-TSU-HPC6120,UNIT,pass,n/a,yes,"tsunamipump.com product page 'HPC6120 Light Home Cleaning High Pressure Cleaner' priced RM420 with 1300W/100bar spec table; image HPC6120-with-Transparent-Background.png is declared primaryImageOfPage and named for this model alone"
8,DC-M1Q-FF-65,SET,fail,n/a,no,"Page text shows only 'JIG SAW/ DMQ65' throughout; stripped item-code model 'M1Q-FF-65' never appears in page text (only in URL slug) so the model code is unconfirmed - conservative fail despite correct product type and model-named image DMQ65.jpg"
9,TAP-CAB-CB4907,UNIT,pass,n/a,yes,"Cabana page 'Basin Tap: CB4907' breadcrumb ends CB4907 and describes 'High Basin Cold Tap' matching display name; product image linked directly at /images/virtuemart/product/CB4907.jpg"
10,EXH-FAN-OS-16EF,PCS,pass,n/a,yes,"yuanming.com.my page 'OSAKI Industrial Exhaust Fan 16 inch - OS16EF' with spec Model: OS16EF / Blade Size 400mm(16 inches) / 220~240V; image OSAKI-16EF.png is the page's own primary product photo distinct from sibling models"
