priority_tier,queue,source_position,item_code,uom,display_name,category,manus_decision,official_product_page,official_image_url,why_failed,hint_page,hint_image,gemini_note
A,p300_pending,4,JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Home Appliances,pending,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,,"Queries ran: exact SKU SL30IP-RS at official Joven Malaysia, SL30 series page, and RS page image gallery. The exact RS page confirms the rainshower accessory variant, but the current gallery exposes shared/non-RS-named white assets rather than an unambiguous white RS-only casing image. White-versus-RS image identity is unresolved; no non-RS image reused.",https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,,
A,p300_pending,6,SIN-SOR-SRTKS2406,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Kitchen & Sinks,pending,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94,"Queries ran: exact SKU SRTKS2406 at Sorento Malaysia and the official 2024 catalogue page 94. The catalogue family is visible, but the source row uses SRTS2406/SRTKS2406 and the ultrasonic nano-tech naming is not mapped with enough certainty to the exact item. No sibling crop reused.",https://sorento.com.my/,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94,
A,p300_pending,8,SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Kitchen & Sinks,pending,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=95,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=95,"Queries ran: exact SKU SRTKS2408 at Sorento Malaysia and the official 2024 catalogue page 95. The catalogue family is visible, but exact source-code mapping remains material; no sibling crop reused.",https://sorento.com.my/,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=95,
A,p300_pending,9,TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Bathroom,pending,https://saniware.com/product/wc-2122a-s300/,,Queries ran: exact WC-2122A-P180MM and Saniware WC-2122A official page searches. Only the official sibling WC-2122A-S300 page was preserved; P180 trap variant is not established and its image cannot be reused.,https://saniware.com/product/wc-2122a-s300/,,
A,p300_pending,10,TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Bathroom,pending,https://saniware.com/product/wc-2110a-s200/,,Queries ran: exact WC-2110A-P180MM and Saniware WC-2110A official page searches. Only the official sibling S200 page was preserved; P180 trap variant is not established and its image cannot be reused.,https://saniware.com/product/wc-2110a-s200/,,
A,p300_pending,14,TAP-SAN-SWP-RG-304-3905,PCS,Saniware Premier Kitchen Pillar Sink Tap-rg SWP-RG-304-3905,Kitchen & Sinks,pending,,,Queries ran: exact SKU SWP-RG-304-3905 at official Saniware and official Malaysian product search. No exact official page/image was preserved.,,,
A,p300_pending,16,ELE-BUL-E27-3W-RED,PCS,Taicon E27 3W LED Color Bulb-red,Lighting,pending,,,Queries ran: Taicon E27 3W red official Malaysia and exact colour-bulb searches. Only a family-level 3W colour-bulb lead was found; exact E27 red asset was not preserved.,https://www.facebook.com/100063586223862/posts/taicon-3w-b22e27-led-colour-bulb3w-b22-led-colour-bulb%EF%B8%8Fblue%EF%B8%8Fred%EF%B8%8Fyellow%EF%B8%8Fwhite%EF%B8%8Fpin/1546526540810205/,,
A,p300_pending,18,JOV-WAT-HEA-SB11IP-BLK-RS,PCS,Joven (blk) Instant Water Heater,Home Appliances,pending,https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,"Queries ran: exact SB11IP-RS at official Joven Malaysia, SB11 series, and 3.6kW/4.2kW model pages. The manufacturer lists materially different SB11iP-RS electrical variants and multiple colour options; the source row omits the electrical rating and exact colour mapping.",https://www.joven-electric.com/my/products/instant-water-heater/sb11-series.html,,
A,p300_pending,20,STA-ROT-HAM-SHR263KA,UNIT,Stanley Rotary Hammer 26MM,Power Tools,pending,https://theleedenstore.com.my/product/stanley-shr263ka-xd-2kg-26mm-rotary-hammer-with-chisel-drill-bit-tool-box/,,Queries ran: exact Stanley SHR263KA official/global and authorised Malaysia searches. The available Malaysian listing is not first-party and the package/kit contents are not established from an official source; no dealer image promoted to candidate.,https://theleedenstore.com.my/product/stanley-shr263ka-xd-2kg-26mm-rotary-hammer-with-chisel-drill-bit-tool-box/,,
A,p300_pending,23,KHI-COO-RC3636,SET,3.6L Rice Cooker (cool Grey),Home Appliances,pending,https://khind.com.my/products/3-6l-commercial-rice-cooker,https://khind.com.my/cdn/shop/files/ssmy.zone-1717059514-RC365_WH_Cover.jpg?v=1751809047,"Queries ran: exact RC365 and 3.6L cool-grey Khind official searches. The official page confirms RC365 and the image is official, but the available asset is a white-cover rendering while the source row names cool grey; finish chain is unresolved.",https://khind.com.my/products/3-6l-commercial-rice-cooker,https://khind.com.my/cdn/shop/files/ssmy.zone-1717059514-RC365_WH_Cover.jpg?v=1751809047,
