item_code,uom,display_name,category,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,decision,reason,human_action
FLO-PVC-NO-7512,ROLL,PVC Flooring No. K20101,Flooring,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: PVC flooring K-series pattern numbers: unbranded distributor pattern goods, marketplace-only results excluded. unbranded_pattern_goods.",Supplier pattern card/photo or own-stock photo
FLO-PVC-NO-K10305,ROLL,PVC Flooring No. K35301,Flooring,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: PVC flooring K-series pattern numbers: unbranded distributor pattern goods, marketplace-only results excluded. unbranded_pattern_goods.",Supplier pattern card/photo or own-stock photo
FLO-PVC-NO-K11114,ROLL,PVC Flooring No. K11114,Flooring,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: PVC flooring K-series pattern numbers: unbranded distributor pattern goods, marketplace-only results excluded. unbranded_pattern_goods.",Supplier pattern card/photo or own-stock photo
MARK-X-STA-MKX-2020,UNIT,Mark-x Angle Grinder Stand,Power Tools,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Mark-X angle grinder stand MKX-2020"": Mark-X power-tool accessories brand, no official page surfaced in results returned. brand_page_not_surfaced.",Check Mark-X distributor; supplier photo fallback
NUM-PUNC-50730080,SET,Nietz 0-9 Number Punches 8MM 50730080,Signage & Numbering,https://nietz.com.my/product/0-9-number-punches-font-german-pointed/,https://nietz.com.my/wp-content/uploads/2024/06/92_50730030-until-50730120.png,B,yes,yes,SET 0-9 punches 8MM (code family 507-30-XXX),needs_permission,candidate,"Q: nietz.com.my official product page '0-9 Number Punches (Font-German, Pointed)' CODE: 507-30-XXX - matches row 50730080 family; 8MM size variant selectable on page.",Confirm 8MM variant code 50730080 on page; request NIETZ image permission
PEN-T200-GREY,PAIL,Pentens T200 Fleseal GREY-5KG,Housewares,https://www.pentens.com/en/product-detail/T-200/,,B,yes,unresolved,PAIL 5KG (official packaging 20KG/200KG),needs_permission,pending,Q: pentens.com official T-200 page: colours table states Grey AND White (both row variants provable); BUT packaging stated 20 KG / 200 KG pail vs row 5KG - pack-size variance.,Confirm 5KG repack source with Pentens MY; then promote with official art
PEN-T200-WHI,PAIL,Pentens T200 Fleseal WHITE-5KG,Housewares,https://www.pentens.com/en/product-detail/T-200/,,B,yes,unresolved,PAIL 5KG (official packaging 20KG/200KG),needs_permission,pending,Q: same T-200 page; White stated in colour table; 5KG pack variance as above.,Same as grey variant
TOO-COM-W0287N-21MM,PCS,Com Ratchet Wrench 21MM,Hand Tools,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Com ratchet wrench 21MM W0287N"": generic hand-tool commodity, marketplace-only results excluded. unbranded_commodity.",Supplier photo or own-stock photo
WEL-ELE-J38.12-3.2MM,BOX,Welding Electrode X 3.2MM (BOX),Welding,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""welding electrode J38.12 3.2MM"": electrode grade commodity (E6013-class), no single brand page surfaced. unbranded_commodity.",Supplier photo or own-stock photo; confirm brand on box
X-FLO-MOC-KH19T01,PCS,"8""X8 Homogeneous Tiles",Power Tools,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""8x8 homogeneous tile KH19T01"": tile pattern codes are manufacturer-internal; no public brand page surfaced. unbranded_pattern_goods.",Supplier pattern card/photo
ADH-GLU-PE175GM,SET,175GM E P Glue,Chemicals & Adhesives,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""175GM EP glue"": two-part epoxy commodity, marketplace-only results excluded. unbranded_commodity.",Supplier photo or own-stock photo
BOS-0600-8A7-508,PCS,(508) 3 IN 1 Nozzle,Power Tool Accessories,https://www.bosch-diy.com/my/en/p/universalaquatak-125-06008a7al0,,B,unresolved,unresolved,PCS 3-in-1 nozzle accessory for AQT/Aquatak,needs_permission,pending,Q: row (508) 3-in-1 nozzle is a UniversalAquatak accessory; parent Aquatak 125 page verified live this pass but dedicated nozzle accessory page not opened.,Open bosch-diy.com/my accessories list for 3-in-1 nozzle (order 06008A7508?); grab accessory-only image; then promote
CHA-CAP-SQU-EXT-25MM,PCK,Square External Cap 25MM (4PCS/PCK),Outdoor & Garden,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""square external cap 25MM 4pcs"": irrigation fitting commodity, marketplace-only results excluded. unbranded_commodity.",Supplier photo or own-stock photo
CUT-DIS-MARK-00900,PCS,Mr. Mark 108MM Segmented Diamond Wheel (1.8X8X20MM),Abrasives & Cutting,https://www.mrmarks.com/index.php?cat=Cutting-Wheel-Grinding-Wheel-Accesories&products_id=2562734&ws=showproducts,,B,unresolved,unresolved,PCS segmented diamond wheel 108mm,needs_permission,pending,Q: mrmarks.com official MK-WEL-00900 SEGMENTED DIAMOND BLADE page found (matches row 00900 code family); exact dimensions 108mm/1.8x8x20 need page confirmation.,Open MK-WEL-00900 page fully; confirm dims; grab official image; promote
FAS-SCR-TECH-WOOD-50MM-BOX,BOX,Techscrew-wood Screw X 50MM (250PCS/BOX),Fasteners & Fixings,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Techscrew wood screw 50MM"": techscrew.com is a UK firm (Woodall Fastening Systems), NOT the MY product's maker; local commodity screw. brand_mismatch_no_source.",Supplier photo or own-stock photo
GAR-SPR-16LTR-BB3G,SET,Knapsack Sprayer (BB-3G),Outdoor & Garden,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""knapsack sprayer BB-3G 16LTR"": agricultural sprayer commodity, marketplace-only results excluded. unbranded_commodity.",Supplier photo or own-stock photo
HOS-CON-STO-ECO4112,PCS,"Ecogreen- Quick Connector W. Wtr Stop 5/8""-3/4",Outdoor & Garden,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Ecogreen quick connector water stop 5/8-3/4"": garden fitting commodity (Garden-like Eco line), no official page surfaced. unbranded_commodity.",Supplier photo or own-stock photo
KGR-KIM-1L-9215,TIN,1 Litre KIMTONE-9215,Paint & Sundries,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""KIMTONE 9215 1 litre paint"": local paint brand, no official site surfaced. local_brand_no_site.",Supplier photo or own-stock photo
PAI-ROL-REF-CRI-7,PCS,"7""XD6 Cristin Rainbow Refill",Paint & Sundries,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Cristin 7in rainbow refill"": Cristin paint-accessories brand, no official MY page surfaced. brand_page_not_surfaced.",Check Cristin distributor; supplier photo fallback
PAP-WALL-HAVANA-11866-12,ROLL,Wallpaper Havana 11866-12(10MX53CM),Paint & Sundries,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""wallpaper Havana 11866-12"": wallpaper pattern codes are mill-internal; marketplace-only results excluded. unbranded_pattern_goods.",Supplier pattern book/photo
SHH-YEL-HOSE-10MMX2MM,MTR,Yellow Hose (10MMX2MM),Outdoor & Garden,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""yellow hose 10MM x 2MM per metre"": gas/water hose commodity sold per metre. unbranded_commodity.",Supplier photo or own-stock photo
TOO-WRE-PIP-W450C,PCS,Heavy Pipe Wrench (450MM),Hand Tools,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""heavy pipe wrench 450MM W450C"": generic hand-tool commodity. unbranded_commodity.",Supplier photo or own-stock photo
WAL-DOW-YB-A7201S/W/AB,PCS,Outdoor Gate Light YB-A7201S/W/AB,Doors & Hardware,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""outdoor gate light YB-A7201S/W/AB"": local lighting brand code, no official site surfaced. local_brand_no_site.",Supplier photo or own-stock photo
ADH-TAP-SEA-3255,PCS,Calvallo 3255 Yellow Seal Tape,Chemicals & Adhesives,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Calvallo 3255 yellow seal tape"": local tape brand, no official site surfaced. local_brand_no_site.",Supplier photo or own-stock photo
BAS-AGRI-BASK-V1034,PCS,Rayaco Metal Handle Fruit& Veg Basket 59X37X32CM,Doors & Hardware,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Rayaco metal handle fruit & veg basket 59x37x32"": local agri basket brand, no official site surfaced. local_brand_no_site.",Supplier photo or own-stock photo
GAR-HOE-JM3812,PCS,Jayamata Hoe-d Curve,Outdoor & Garden,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,"Q: ""Jayamata hoe D-curve JM3812"": local agri-tool brand (Jayamata), no official site surfaced. local_brand_no_site.",Supplier photo or own-stock photo
