source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
28,TOI-TRP-WC2300-S,SET,pass,yes,yes,'Page <title>One-piece Washdown Closet WC-2300-S250mm - Saniware</title> plus desc S-Trap: 250mm roughing-in proves model WC-2300 S-trap (=code WC2300-S hyphen-normalized); pixels show white one-piece closet; 498x539px long edge 539, 22.2KB image/jpeg sha 773cdaf0'
55,TOI-TRP-WC-2110A-S,SET,fail,no,no,'Page is Intelligent Water Closet with Tank WC-1008-S250mm only - string 2110 has ZERO hits in page text so wrong model; ALSO cross-row fail: same official_image_url WC-1008-2025.jpg and identical sha256 ab03615a shared with pos 56 (different item_code); 1200x1200px 83.4KB'
46,CAB-SAN-SWBC-SS6411,SET,pass,yes,yes,'Page <title>SWBC-SS6411 - Saniware</title> and og:description SWBC-SS6411 Bathroom Cabinet Set ... Material: Stainless Steel match code literally; pixels show the marble cabinet set scene; 1173x960px 192.8KB image/jpeg sha 09e3da92'
56,TOI-TRP-WC-2122A-S,SET,fail,no,no,'Page is WC-1008-S250mm only - string 2122 has ZERO hits in page text so wrong model; ALSO cross-row fail: identical image URL+sha256 ab03615a as pos 55 for a different item_code; 1200x1200px 83.4KB'
42,CAB-SAN-SWBC-SS6615,SET,pass,yes,yes,'Page <title>SWBC-SS6615 - Saniware</title> and desc Material: Stainless Steel / 3side same surface colour match; OEM side-view photo of matching white-marble cabinet set; 1200x1053px 1662.1KB image/jpeg sha c354e67d'
17,TAP-SAN-SWP-B-2521,PCS,pass,yes,yes,'Page <title>Basin Pillar Tap - Mixer SWP-B-2521 - Saniware</title> contains full code literally; desc Brass Mixer Faucet; pixels show chrome pillar tap consistent; 1000x1000px 226.0KB image/png sha a667588f'
31,TAP-SAN-SWP-B-3213,PCS,pass,yes,yes,'Page <title>Tall Basin Cold Tap SWP-SS-304-3213 - Saniware</title> proves model 3213 exactly (OEM series prefix SS-304 vs code B, same product type); pixels show chrome SS tall cold tap distinct from 91 gun-metal; 1080x1350px 51.6KB image/png sha a153c8bd'
21,TAP-SAN-SWP-B-3023,PCS,pass,yes,yes,'Page title SWP-B-3023 - Saniware and og:description Brass Cold Mixer Tap - Rose Gold Pillar Tap prove model+finish; pixels confirm rose-gold tap; 1000x1000px 126.7KB image/png sha 41eada04'
27,TAP-SAN-SWP-SS-304-3940-RG,PCS,fail,no,no,'Page is a DIFFERENT product: <title>SWP-SS-304-GB03230-45-60 - Saniware</title> described as Bar holder in Silver; model string 3940 occurs only inside CSS hex color #2d3940 not as product code, and Silver contradicts RG rose-gold suffix; 1200x1200px 66.7KB'
13,SHO-SAN-SWP-BSP-9003RG,PCS,pass,yes,yes,'Page <title>3 Way Bath Shower Set SWP-BSP-9003RG - Saniware</title> contains code literally; page text silent on colour but downloaded OEM pixels are unmistakably ROSE GOLD and file is variant-specific SWP-BSP-9003RG.jpg sha f5fb2832; 1200x1200px 46.6KB image/jpeg'
12,SHO-SAN-SWP-BSP-9003G,PCS,pass,yes,yes,'Page <title>3 Way Bath Shower Set SWP-BSP-9003G - Saniware</title> contains code literally; page text silent on colour but downloaded OEM pixels show brushed GOLD finish, variant-specific file SWP-BSP-9003G.jpg sha e388e4bf; 1200x1200px 46.0KB image/jpeg'
36,TAP-SAN-SWP-B-2931,PCS,pass,yes,yes,'Page <title>Basin Pillar Tap - Mixer SWP-B-2931 - Saniware</title> and desc SWP-B-2931 prove model literally; OEM og:image pixels show glossy-black tall mixer consistent with PDP; no finish token in code so no conflict; 1587x2245px 184.8KB image/png sha 4feb4ab6'
37,TAP-SAN-SWP-B-2930,PCS,pass,yes,yes,'Page <title>Basin Pillar Tap - Mixer SWP-B-2930 - Saniware</title> and desc SWP-B-2930 prove model literally; pixels show chrome tall mixer; distinct file/sha from sibling 2931; 1080x1350px 105.6KB image/png sha 3075c3a0'
40,TAP-SAN-SWP-B-2924,PCS,pass,yes,yes,'Page <title>Basin Pillar Tap-Mixer(Gold) SWP-B-2924 - Saniware</title> proves model AND gold finish; downloaded pixels confirm brushed-gold tap; 800x671px 52.1KB image/jpeg sha 6cd04761'
41,TAP-SAN-SWP-B-2921,PCS,pass,yes,yes,'Page <title>Basin Pillar Tap - Mixer SWP-B-2921 - Saniware</title> with desc Brass Mixer Tap - Matt Black Pillar Tap proves model; pixels confirm matt-black tap; 1000x1000px 85.4KB image/png sha 69955917'
91,TAP-SAN-SWP-B-3213-G,PCS,fail,no,no,'Page model is SWP-SS-304-3213-GM Tall Basin Cold Tap (Gun Metal) - code string B-3213-G never appears on page; suffix -G (gold per 9003G sibling convention) is contradicted by explicit Gun Metal text AND gun-metal-grey pixels in 3213-GM.png; 1080x1350px 47.7KB'
110,TAP-SAN-SWP-B-3203-RG,PCS,pass,yes,yes,'og:description SWP-SS-304-3203-RG Premier Basin Pillar Cold Tap (Rose Gold) proves model+finish; pixels confirm rose-gold square pillar tap; 1200x1200px 20.7KB (21194 bytes) image/jpeg sha 392ef621'
1440,VAL-SAN-SW-SS-AV-80,PCS,pass,yes,yes,'Page <title>Angle Valve SW-SS-AV-80 - Saniware</title> contains code literally (canonical sw-ss-av-80-2 is a duplicate listing); pixels show SS angle valve; 1200x1200px 64.2KB image/jpeg sha ce2f447d'
