ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
6953,1993,TOO-NIE-SOC-KEY-L05MM,PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-long-hex-bit-allen-socket/,https://nietz.com.my/wp-content/uploads/2024/06/65_50240104-until-50240114.png,n/a,n/a,no,n/a,unknown,"Email Nietz (info@nietz.com.my) for a per-size product photo of long hex/allen socket SKU 50240105 (5mm), or shoot the item in-store.",2,"q:""50043030"" nietz site search; bing ""50043030"" nietz; site:nietz.com.my socket chrome (bing degraded). p:nietz.com.my home; nietz.com.my/?s=50043030 (no results); nietz.com.my/product-catalogue (PDF download only); mechanic-tools cat p1-p3; ?s=ball+point&post_type=product; ?s=spark+plug&post_type=product; ?s=flap&post_type=product; machinery-accessories cat. Official page NIETZ 1/2"" Drive Long Hex Bit (Allen) Socket exists but its only gallery/og:image is 65_50240104-until-50240114.png - filename contains model RANGE covering sibling SKUs 50240104-50240114 => FAMILY HERO per hard rule. No size-specific shot on page."
6954,1099,TOR-ENE-LED-2AA,PCK,candidate,https://eveready.com/apac/malaysia/product/eveready-brilliam-beam-2aa/,https://eveready.com/apac/malaysia/wp-content/uploads/sites/10/2025/12/EVEREADY-Brilliam-Beam-2AA.png,high,n/a,yes,PCK plausible (retail blister card shown; pack qty not stated on page),unknown,"None - asset usable. Optionally confirm with Eveready Malaysia (eveready.com APAC-MY subsite) that retail unit is sold in blister pack.",2,"q:websearch ""Eveready 2AA Brilliant torchlight Malaysia official"" (HTTP429); later eveready.com.my probes CONN-fail. p:eveready.com/product/eveready-all-purpose-led-flashlight-2aa/ and ...industrial... (redirect to Home); eveready.com/apac/malaysia/ home; /apac/malaysia/?s=brilliant; /apac/malaysia/lighting/handheld-lights/ listing revealed product eveready-brilliam-beam-2aa. Opened product page: title=""EVEREADY Brilliam Beam 2AA - Eveready Malaysia"", og:description ""GPHH11 -- (GPHH211) All Pur..."", kw[Brilliam]=31 kw[2AA]=33. og:image = EVEREADY-Brilliam-Beam-2AA.png (HEAD 200 image/png len=367185). Model-quote:""EVEREADY Brilliam Beam 2AA"" from page title/meta. Ekoway name ""2AA Brilliant"" matches Brilliam Beam 2AA line (AutoCount abbreviation)."
6955,2044,BOS-TER-MALE-CON-IW-TCM35/50,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,"Confirm actual brand/supplier of the male insulated terminal connector 35-50mm2 with Ekoway purchaser (BOS prefix looks like supplier-code artifact, not Bosch). Then request product photo from that supplier, or shoot terminals in-store.",2,"q:websearch ""TCM35-50 OR TCF35-50 insulated terminal connector Malaysia"" - only Eaton TCF35 fuse (unrelated) and generic terminal suppliers; no official product page. Bing/DDG/lite-DDG/Mojeek/Ecosia/Brave all captcha-or-degraded during session. Item appears to be generic unbranded insulated blade/spade terminal; no identifiable official product exists online.",2
6956,2043,BOS-TER-FEMALE-CON-IW-TCF35/50,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,"Confirm actual brand/supplier of the female insulated terminal connector 35-50mm2 with Ekoway purchaser; request photo from supplier or shoot in-store.",2,"q:same websearch as row 6955 (TCF35/50) - only unrelated Eaton fuse hits. No official OEM/distributor page for a TCF35-50 terminal connector. Generic unbranded electrical consumable; do NOT invent an image.",2
6957,1599,"TOO-NIE-SOC-HAN-1/2""-30MM",PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/,https://nietz.com.my/wp-content/uploads/2024/06/7_50043008-until-50043032.png,n/a,no,no,n/a,unknown,"Email Nietz (info@nietz.com.my) for per-size photo of 1/2in Dr Chrome Deep Socket 12PT 30mm (SKU 50043030) or shoot in-store.",2,"p:nietz.com.my/?s=50043030 no results; mechanic-tools category p1 shows NIETZ 1/2"" Drive Chrome Deep Socket (12PT) thumb 7_50043008-until-50043032.png. Opened product page HTML: og:image=7_50043008-until-50043032.png; schema sku=""500-43-0XX""; gallery has ONLY the range image (+ -2 variant). Filename contains RANGE 50043008-until-50043032 serving ~13 sibling SKUs => FAMILY HERO. Model string 50043030 never appears in page text."
6958,2356,RAINBOW-R007-500GM,BTL,pending,,,n/a,n/a,n/a,n/a,unknown,"Email Rainbow texture-paint manufacturer/distributor (Ekoway paint vendor) requesting R007 Black 500g label/product artwork, or photograph the bottle in-store. Verify brand owner before reuse.",2,"q:websearch ""R007 rainbow texture paint Malaysia"" - no Rainbow-brand Malaysian manufacturer with R007 code surfaced (results were MacoAvell, MrPaintShop Suzuka/Novacolor, Dulux India etc.). p:rainbowpaint.com.my and www.rainbowpaint.com.my connection-failed (site dead); wayback CDX rainbowpaint.com.my filter R007|texture EMPTY; CDX listing attempt hit archive 503. No official product identifiable; do not invent image.",2
6959,2568,TOR-LIG-HEA-GD-G010,SET,pending,,,n/a,n/a,n/a,n/a,unknown,"Request product image from the Googda OEM/import vendor used by Ekoway (brand has no official website; only overseas resellers found), or shoot head-light in-store.",2,"q:websearch ""Googda GD-G010 LED head light rechargeable"" - hits only Argentina resellers (elbajoimportadora.com, jjemayorista.com.ar - marketplace/reseller class, forbidden) plus unrelated headlamps. p:googda.com / googda.cn connection-fail (no official OEM domain found). Brand is Chinese OEM without discoverable official page; SET uom unverifiable.",2
6960,1621,NIE-SOC-HAN-DEE-12P-1/2-21MM,PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt-extra-deep/,https://nietz.com.my/wp-content/uploads/2024/06/8_50045008-until-50045032-1.png,n/a,no,no,n/a,unknown,"Email Nietz for per-size photo of Extra-Deep 12PT 21mm (SKU 50045021) or shoot in-store.",2,"p:mechanic-tools cat p1 lists NIETZ 1/2"" Drive Chrome Deep Socket (12PT) - Extra Deep with thumb 8_50045008-until-50045032-1.png covering SKUs 50045008-50045032 including ours. RANGE filename => FAMILY HERO; per-size shot does not exist on official site.",2
6961,1690,BOS-2608-680-282,PCS,candidate,https://www.bosch-pt.com.my/my/en/products/hammer-drill-bit-sds-plus-1-2608680282,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/767x431/o196541v82_2608680282_bo_diy_u_f_1.png,high,n/a,yes,Official sells Pack of 1 - PCS ok,unknown,"None. Note: official line is SDS-plus-1 (not S3 as in legacy display name); consider renaming display to match official.",2,"p:wayback CDX bosch-pt.com.my found archived official page hammer-drill-bit-sds-plus-1-202153-2608680282.html quoting WT.pn_sku ""2 608 680 282"" spec ""14 x 150 x 210 mm"" [Pack of 1]; old images.bosch-pt.com.my CDN now dead/unarchived. Live replacement found on current official bosch-pt.com.my platform: opened https://www.bosch-pt.com.my/my/en/products/hammer-drill-bit-sds-plus-1-2608680282 (200) - page text contains ""2608680282"" in variant list; page embeds ocsmedia assets incl binary/ocsmedia/...767x431/o196541v82_2608680282_bo_diy_u_f_1.png whose FILENAME embeds our exact article. HEAD check: LIVE 200 image/png len=26009. Model-quote:""2608680282"" from live page text."
6962,2357,SIN-CLE-DRA-H/D-3.2M,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,"Identify the supplier/brand behind YG577 heavy-duty drain spring 3.2m from purchase records; request photo from supplier or shoot in-store.",2,"q:websearch ""YG577 pipe cleaner drain 3.2m"" - no branded official product anywhere (McMaster/General Pipe Cleaners/B&Q generics only). DDG-lite captcha-walled; Bing degraded. Unbranded OEM plumbing consumable; no official product page identifiable.",2
6963,1227,TOO-HAM-BAL-GT1.0LB,PCS,pending,,,n/a,n/a,n/a,n/a,unknown,"Request product photos from the Glotool brand owner/importer supplying Ekoway, or shoot ball-pein hammer 1.0LB in-store. Retailers exist (skhardware.com.my, sonichardware.com.my) but authorisation unverified and they are not acceptable final sources without proof.",2,"q:websearch ""Glotool Malaysia hardware hammer wrench brand"" - Glotool is a house import brand retailed via SK Hardware (10 products: chisels, locking plier), Sonic Hardware Sarawak, Sunpower; no manufacturer site. p:glotool.com fetched OK but it is GloTool South Africa (glotool.co.za, Johannesburg tel) - UNRELATED company; site searches there for hammer/wrench/sds/drill/ball returned ""nothing matched"". Bing/DDG/Mojeek blocked. No official product page.",2
6964,1664,NIE-SOC-HAN-DEE-12P-1/2-16MM,PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt-extra-deep/,https://nietz.com.my/wp-content/uploads/2024/06/8_50045008-until-50045032-1.png,n/a,no,no,n/a,unknown,"Same as 6960 - request per-size photo of SKU 50045016 from Nietz or shoot in-store.",2,"p:mechanic-tools cat p1; extra-deep 12PT family image 8_50045008-until-50045032-1.png serves whole 50045xxx range incl 50045016 => FAMILY HERO.",2
