source_position,item_code,uom,verifier_verdict,model_exact,finish_exact,model_string_on_page,justification
2484,IND-WIR-PVC-MEGA-15X15,MTR,pass,yes,yes,,Mega Net green close-up labelled MEGA NET matches page; roll format 1m x 24m per page.
2790,TOPLUS-HIG-GLO-1L-D,CAN,fail,no,no,,Tin reads TOPLUS HIGH GLOSS Alkyd Enamel not Weather Plus A Base; no D Base designation.
2844,PLA-MAT-EAW150,ROLL,pass,yes,yes,,Black Elephant-King PP anti-weed mat roll with spec table listing EAW150 = 1m x 50m.
3244,HHD-STO-JYMT-200MM,PCS,pass,yes,yes,,Page confirms JM140 L8xW2xH1 (200mm); image shows boxed JM140 double-sided stone #150/320 matching 8in stone.
3641,ARR-BAN-STE-APB1210,ROLL,pass,yes,yes,,ARROW Black Painted Band 10m coil; page offers 12MM option with code APB1210.
3688,MAR-PAI-WHITE,PCS,pass,no,yes,,Genuine white MUNGYO paint marker but page titles generic 'Paint Marker' family without white-variant designation.
3716,ROP-PP-04MM,MTR,fail,yes,yes,,Asset shows braided 8-strand rope with blue tracers contradicting page's 3-strand PP rope.
3843,MAR-PAI-BLUE,PCS,fail,no,no,,"Image shows Mungyo 12-color retail set box, not a single blue marker."
3966,TOO-RUL-IRN-BLACK,PCS,pass,yes,yes,,Page titled Iron Square (Black) 24in single variant; one black L-shaped iron square pictured.
4043,TOO-WRE-KEY-ASUMA-MALK001-A,SET,pass,no,yes,,Litaventure page JS-gated so no model string obtainable from page text; image shows ASUMA MALK001-A 8pc mm hex key set.
4101,TOO-WRE-DOU-1415,PCS,void,,,,Asset misplaced by wsrv path bug; generic size-range listing shares one photo anyway - likely family-hero fail on reverify.
4104,X-BAT-ENE-REC-4AA-4PCS,PCK,fail,no,yes,,Pictured blister is a 2-card of MAX AAA while name claims 12PCS pack.
4242,TOO-WRE-KEY-ATHM-4,PCS,fail,no,yes,,"Zoom shows 10mm embossed on handle - sibling size, not listed 4MM."
4390,PUM-TOI-003S,PCS,pass,yes,yes,,Same Rayaco toilet vacuum pump rubber cup aluminium rod as page photo; single-variant page.
4478,PAI-BRU-086-50MM,PCS,fail,yes,yes,,"Range hero: four different-size CS-086 brushes, not single 2in brush."
4584,PAI-SPR-KIMLAC-9616,TIN,void,,,,Held row (non-MY source); asset missing; row open tier2.
4615,"PAI-BRU-SEL-2.1/2""",PCS,pass,yes,yes,,Single Selleys All Purpose brush package labelled 63mm/2.5in; page offers 2.5in option.
4623,TOO-WRE-DOU-0809,PCS,fail,no,yes,,"Pixel evidence: etched GENIUS 512428 with heads marked 3/4 and 7/8 imperial - SAE sibling, not 8x9mm metric."
4634,NUM-60MM-I,PCS,fail,no,no,,"ACP plate engraved 191 multi-digit tag, not individual letter I."
4640,SAF-COA-GRE,PCS,void,,,,Asset misplaced by wsrv path bug; reverify after relocation.
4645,TOO-COM-IRO-BUL-15MM,PCS,fail,yes,yes,,"Range hero: ~12 Iron Bull spanners of many sizes, not individual 15mm."
4683,GRA-CUT-BLA-GCB-1290SS,PCS,fail,no,no,,"No local asset available; TOKUDEN range covers 12in and 14in blades, not single variant."
4684,GRA-SSS-150MM-06084(6),PCS,pass,yes,yes,,Square polished stainless floor grating with Banli branding identical to page image; 150mm matches.
4686,LMP-ENE-SAV-18W,PCS,pass,yes,yes,,Philips Master PL-C 18W 2-pin box pictured; 18W pin-type energy saving bulb matching name.
4687,"PAI-BRU-SEL-3""",PCS,fail,no,yes,,"Family hero showing five different brush sizes, not single 3in variant."
4713,HOS-SPR-05040,MTR,pass,yes,yes,,MIKASA-branded grey PVC steel-wire spring hose coil; spec table Int.Dia 50 x Length 40.
4716,NUM-60MM-7,PCS,fail,no,no,,"Same rotated 191 plate, not single digit 7."
4717,NUM-60MM-9,PCS,fail,no,no,,"Pile of multi-digit number plates, not single digit 9."
4718,PAI-BRU-086-38MM,PCS,fail,yes,yes,,Range hero: four assorted-size brushes laid out instead of single 1-1/2in.
4731,TOO-DRI-BIC1312,SET,pass,yes,yes,,Bossman BIC1312 keyless chuck + hex adaptor incl retail pack labelled BIC1312 exactly matching page model.
4827,KGR-KIM-300ML-9211,TIN,void,,,,Held row (non-MY source); asset missing; row open tier2.
4869,MAR-PEN-RED,PCS,pass,yes,yes,,Page titled Sharpie Fine Point Permanent Marker - Red; red fine point marker pictured.
