source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
296,NAI-COM-65MM-20KG,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""paku besi galvani 2 1/2 inci Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplace listings only (Lazada/Shopee/Tokopedia), no OEM page ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4189,"BRA-STEEL-L-1""X1""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""stainless steel L bracket 85x85mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; resellers + Chee Kuan mfr of brackets generally; BC185K/85383 codes unresolved to any OEM ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3297,SHH-BELL-SINGL-PSC115,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""pemberat pancing no 1 loceng Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; marketplace/agro listings only ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2945,ABR-PAP-621-527,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3003,ABR-PAP-621-533,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3002,ABR-PAP-621-532,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3027,ABR-PAP-621-536,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3084,ABR-PAP-621-537,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3085,ABR-PAP-621-538,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3152,ABR-PAP-621-528,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3197,ABR-PAP-621-540,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3238,ABR-PAP-621-530,SHT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""kertas pasir tangan G120 Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; generic grit sheets on marketplaces (Bosch-branded sheets are not this house item) ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2856,CLI-HOS-13-23,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""hose clip stainless steel 13-23mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; distributor pages list Brand ""-"" confirming unbranded commodity ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
2629,ELE-CAB-PVC-4.00MM-BLK-MTR,MTR,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""KTK PVC cable 4mm black 100m Malaysia"" ; tier1:no-oem-found ; t3:KTK sold via distributors (SMJ Electrical, Modernvest/Lekima) only; no KTK manufacturer official site found ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
6012,"BNW-WAS-1/4""",PKT,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""SS304 nut bolt washer threaded rod expansion eye bolt Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY fastener traders (Fuji/Pertama/Yew Siong) sell generic stock; TRAC/OAC codes unresolved ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
4856,BNW-NUT-SS304-M12,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""SS304 nut bolt washer threaded rod expansion eye bolt Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; MY fastener traders (Fuji/Pertama/Yew Siong) sell generic stock; TRAC/OAC codes unresolved ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
5197,FAS-PLU-PVC-GREY-SW260,PCK,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""K103 stainless steel wall plug M10 Malaysia"" ; tier1:no-oem-found ; t3:K103-304 code unresolved to OEM; sleeve-anchor resellers only; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
3311,"CLI-HOS-GP-3/4""",PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""hose clip stainless steel 13-23mm Malaysia"" ; tier1:no-oem-found ; t3:n/a-commodity-no-brand; distributor pages list Brand ""-"" confirming unbranded commodity ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
6319,X-SWI-LWD-1WAY-2GANG,PCS,,,exhausted,R,n/a,n/a,n/a-no-listing-found,no_asset,"q:""Niko S switch 1 gang 1 way white Malaysia"" ; tier1:no-oem-found ; t3:only Belgian niko.com and MK/Schneider equivalents found; local ""Niko S"" OEM unresolved; dead end ; t4:no-prior-url-to-archive ; t5:shoot-in-store(house-label/generic; no matching supplier in supplier-permission-contacts.csv)",shoot in-store
