source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
288,TOO-BOS-BAG-101,PCS,Bossman 20V Angle Grinder 105MM,Power Tools,,,reopen,2,,pending,,,"Q: Bossman BAG-101 angle grinder: dealer listings only (e.g. Sui U), no manufacturer site. dealer_only_no_oem.",open
297,ELE-CAB-ZI-C70763G-ROLL,ROLL,Zi 3C X 70/076 PVC Flex Wire (grey),Electrical,,,reopen,2,,pending,,,"Q: code-analysis only - unbranded commodity (MS-1058 = Malaysian standard, not a brand; generic sheet/mesh/nail/conduit items); marketplace-only results expected and excluded per rules. unbranded_commodity.",open
706,SWI-SOC-BS-13A,PCS,Taicon 13A Switch Socket (sr),Electrical,Taicon,TC-13SS,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
639,ELE-TUB-LED-CAS-1200MM,PCS,4FT T8 LED Empty Casing,Lighting,,4FT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
985,ADH-TAP-MAS-36MM,PCS,Glotool Masking Tape 36MM X 15 Yd,Packaging,Glotool,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
876,ELE-CAB-SPEAKER-COSTA-30/0.18MMX2C-MTR,MTR,Fajar Speaker Wire Pink,Electrical,Fajar,30/0.18MMX2C,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
721,FIT-BUT-ELB-20X20MM,PCS,Buteline PE Elbow 20X20MM,Plumbing,Buteline,20X20MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
974,ADH-TAP-MAS-48MM,PCS,Glotool Masking Tape 48MM X 15 Yd,Packaging,Glotool,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
999,CIMA-DL-L/199Y/RND/18W/SEN/840,SET,Ceilo Iii 199Y 18W L/dl (rnd/ 840 Cool Day Light),Lighting,,199Y,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
742,FIT-BUT-TEE-EQU-25X25X25MM,PCS,Buteline PE Equal Tee,Plumbing,Buteline,25X25X25MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
736,BOS-PLUG-WS7F,PCS,Bosch Plug WS7F,Electrical,Bosch,WS7F,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
905,SWI-PLU-AER-13A,PCS,Taicon 13A Plugtop (white) SIRIM,Electrical,Taicon,TC-3300,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
490,"FIT-BUT-ELB-FEM-SWI-25MMX1/2""",PCS,Buteline 25MMX1/2 PE Elbow Female Swivel,Fishing & Tackle,Buteline,25MMX1/2,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Source row lacks exact manufacturer part number; dealer uses BLF-FB25x1/2 / EF-7B and exact image URL was not preserved.,open
