item_code,uom,source_file,prior_status,gemini_decision,agree,finish_exact,model_exact,rights_status,reason,human_action
JOV-WAT-HEA-SL30IP-BLK-RS,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact Malaysian model page, SKU, black rendering, RS accessories and 3.6kW specs; sibling RS/non-RS explicitly eliminated.",Request Joven permission for exact 5101501 image and confirm BLK mapping.
JOV-WAT-HEA-SL30IP-BLK,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Model page is exact but candidate gate fails exact black image/finish proof.,Request Joven black SL30iP image/SKU confirmation; do not use white image.
JOV-WAT-HEA-SL30IP-WHI,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact product page plus model-specific white asset and non-RS accessory fingerprint.,Request Joven permission and retain exact 5101401 model/SKU evidence.
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Exact model is known but exact white image/finish is not proven.,Request exact white SL30iP-RS image and confirm color SKU.
JOV-WAT-HEA-SA20E,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact model entry and model-specific image on official Malaysian series page; candidate below exceptional confidence due single-source/category dependency.,Request Joven permission and exact SA20e datasheet/SKU.
SIN-SOR-SRTKS2406,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Exact family model present but source-name/technology ambiguity is material.,Request written source-code mapping and approved exact image; do not finalize crop.
JOV-WAT-HEA-SA8E,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact model entry and model-specific official asset; candidate at 95 due category-page dependence.,Request Joven permission and exact SA8e datasheet/SKU.
SIN-SOR-SRTKS2408,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,yes,needs_permission,Exact 2408 page item exists but source mapping remains material.,Request written mapping and approved exact image; do not use sibling crop.
TOI-TRP-WC-2122A-P,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Closest official page proves sibling but not exact source variant.,Request P180 label/invoice and exact product image; do not use S300 image.
TOI-TRP-WC2110A-P,SET,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,yes,no,needs_permission,Closest official page proves sibling but not exact source variant.,Request P180 label/invoice and exact product image; do not use S200 image.
JOV-WAT-HEA-SL30E-WHI-RS,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,"Exact product page, SKU, white selector variant, RS accessory fingerprint and image asset.",Request Joven permission for 5100601 white asset.
SHO-SAN-SWP-BSP-9003G,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact official SKU/title/image and 1set/box 5sets/ctn packaging; complete set image verified.,Request Saniware permission for exact SWP-BSP-9003G set image.
SHO-SAN-SWP-BSP-9003RG,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Exact SKU/page/image and set packaging; finish explicitly named in page title/description.,Request Saniware permission for exact rose-gold set image.
TAP-SAN-SWP-RG-304-3905,PCS,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,pending,pending,yes,no,no,needs_permission,Exact identity and image proof unavailable.,Request exact model label and manufacturer image; do not substitute 3900RG/3940RG.
FAN-CEI-DEKA-CF5DCL46MB12,UNIT,priority50_forensic_audit_input/ekoway_priority50_forensic_reviewed.csv,candidate,candidate,yes,yes,yes,needs_permission,Corrected from sibling F5 DC 46 PRO to exact 46L LED model; official page explicitly answers difference.,Request Deka confirmation CF5DCL46MB12=F5 DC 46L PRO MB and image permission.
