source_position,item_code,display_name,manufacturer,exact_model,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,evidence_asset_path,evidence_sha256,evidence_bytes,rights_status_final,classification_reason
2531,IND-COO-MID-MIC222TLAGN,Midea Induction Cooker Golden Color 2200W,Midea,MIC222TLAGN,https://www.midea.com/my/kitchen-appliances/cooking-appliances/induction-cooker/midea-induction-cooker-mic222tlagn.mic222tlagn,Official manufacturer Malaysia product page,1A,https://web-res.midea.com/content/dam/midea-aem/my/my-new/pdp/domestic-appliances/induction-cooker/mic222tlagn/pd-mic222tlagn-1024x1024.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2501_2600/2531.jpg,021f5f9defe249af48cde6b67e451612083340683f33f2ef1713e638cac53079,138277,needs_permission,Exact manufacturer model and exact official image preserved; no material conflict.
2576,HOO-CAB-CB8003-3,Cabana 3 Robe Hook (polish),Cabana / Sorento,CB8003-3,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8003-3-detail,Official manufacturer product page,1A,https://cabana.com.my/images/virtuemart/product/CB8003-3.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2501_2600/2576.jpg,263cec1ffea38a491c846cf3ea1dba232890915cc532e8d7a30a74e05280894b,348496,needs_permission,"Exact manufacturer model, finish and exact official image preserved; no material conflict."
2582,SHE-CAB-CB781-BL,Cab Double Corner Shelf (matt Blk) -CB781-BL,Cabana / Sorento,CB781-BL,https://cabana.kartfive.com/index.php/products/bathroom/bathroom-accessories/shelf/cb781-bl-detail,Official manufacturer product page,1A,https://cabana.kartfive.com/images/virtuemart/product/CB781-BL.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2501_2600/2582.jpg,62c672084550015f777222d2ada3595520c9d9248efec217d4722a39d4fcfdc0,316454,needs_permission,"Exact manufacturer model, dimensions, material, finish and exact official image preserved; no material conflict."
2645,DC-DSM09-100S,Angle Grinder / DSM09-100S,Dongcheng,DSM09-100S,https://www.dongchengmalaysia.com/product/dsm09-100s/,Official regional manufacturer Malaysia product page,1B,https://www.dongchengmalaysia.com/wp-content/uploads/2024/11/images-2.jpg,EXACT_SKU,98,94,/home/ubuntu/work/full_catalogue_image_pass/assets/2601_2700/2645.jpg,05135c70115ded1cd38d1c161aa67455b44d18526ca4f50d6bd6abdc31019952,3590,needs_permission,Exact regional manufacturer model page plus visually reviewed official image; no unresolved model or variant conflict.
2705,SHE-CAB-CB782-BL,Cab Double Shelf (matt Blk) -CB782-BL,Cabana / Sorento,CB782-BL,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb782-bl-detail,Official manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB782-BL.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2701_2800/2705.jpg,c88409110df7e457037c24e0713e058b9b8992ae8caac8fd33f223e655866b10,351722,needs_permission,"Exact manufacturer model, dimensions, material, finish and exact official image preserved; no material conflict."
2830,X-FAN-CEI-COSA-998,Alpha Cosa 998 Ceiling Fan - Pwt,Alpha Home Appliances,CX998/56,https://www.alphamalaysia.com/ceiling-fans/cx99856,Official manufacturer Malaysia product page,1A,https://www.alphamalaysia.com/sites/default/files/2022-06/CX998%20PWT_0.png,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/2801_2900/2830.png,45e0e34e80f5cece30a7de8c17534b560ddb9d3e20c133bf36ef9d56500cc2a5,181776,needs_permission,"Exact manufacturer model, size, finish and exact official image preserved; no material conflict."
3243,GRA-CAB-CB6644,Cabana S/steel Floor Grating 4,Cabana / Sorento,CB6644,https://www.cabana.com.my/index.php/products/bathroom/floor-grating/cb6644-detail,Official manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB6644.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3201_3300/3243.jpg,598ac40989921c1dd8b1122e1f87ae3fbe4b8667d858e507337873e00eca4a69,63680,needs_permission,"Exact manufacturer model, size, finish and exact official image preserved; no material conflict."
3344,EXH-FAN-FN25A,Dekka Apb 25A 10 Wall Exhaust Fan,Dekka Electrical Appliances,APB25A/10,https://dekka-asia.com/?product=apb25a-10-exhaust-wall-fan,Official manufacturer product page,1A,https://dekka-asia.com/wp-content/uploads/2019/11/d184e50360d3479b0af1f9f962baed1.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3301_3400/3344.jpg,4c48d0dde7420c508d7ace00b5ff275f7051164a73c4260c45624ca02d63e101,481546,needs_permission,"Exact manufacturer model, size, specifications and exact official image preserved; no material conflict."
3427,HOO-CAB-CB8003-5,Cabana 5 Robe Hook (polish),Cabana / Sorento,CB8003-5,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8003-5-detail,Official manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB8003-5.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3401_3500/3427.jpg,3dd3f1e251cdd341644f6476f189f578b0c869f40164684601b459df4b7b362d,443622,needs_permission,"Exact manufacturer model, hook count, material, finish and exact official image preserved; no material conflict."
3512,X-HOO-CAB-CB8001-3,Cabana 3 Robe Hook (satin) CB8001-3,Cabana / Sorento,CB8001-3,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8001-3-detail,Official manufacturer product page,1A,https://cabana.com.my/images/virtuemart/product/CB8001-3.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3501_3600/3512.jpg,11ae7cc05f545e451837eb4d0f0568ee4250f98a2ff8001f89914c1b48fe1b03,337607,needs_permission,"Exact manufacturer model, hook count, finish and exact official image preserved; no material conflict."
3729,ELE-MUL-TES-UNI,Uni-t UT33B+ Multi Meter Tester,UNI-T / Uni-Trend Technology,UT33B+,https://meters.uni-trend.com/product/ut33plus-series/,Official manufacturer product page,1A,https://meters.uni-trend.com/wp-content/uploads/2022/04/UT33B_1.jpg,EXACT_SKU,99,98,/home/ubuntu/work/full_catalogue_image_pass/assets/3701_3800/3729.jpg,408594d1f69abc5138ae942c6413866f04d32b68a4e1d9d751ec5e67dcd4285d,128702,needs_permission,"Exact manufacturer model, model-specific official image and variant-specific features preserved; no material conflict."
