source_position,item_code,uom,finish_exact,model_exact,justification
147,BOS-2608-619-701,PCS,yes,yes,"model: page JSON '"",""model"": ""2 608 619 701"""" and body 'Order number 2 608 619 701' match embedded part number 2608619701 (sku tag also 2608619701); finish: finish unnamed in display_name; listing names disc colour '(Green)' which conflicts with nothing"
252,BOS-0600-8A7-FLO,UNIT,yes,yes,"model: JSON '"",""orderNumber"":""06008A7FL0"""", partNumber '0 600 8A7 FL0', title 'EasyAquatak 110 High-pressure Washer | Bosch DIY'; finish: finish unnamed; only colour hit was site-nav theming ('color':'green' category chip), photo shows green unit consistent"
5,JOV-WAT-HEA-SA20E,PCS,yes,yes,"model: '<title>SA20e Instant Water Heater Compact Non-Pump | JOVEN</title>'; finish: finish unnamed; product JSON variant 'White' and photo show white heater, no conflict"
165,BOS-2608-522-405,PCS,yes,yes,"model: page line 'Size: 65 MM (2608522405)' contains the exact embedded part number (page never spells PH2, but part number is literal and unique); finish: finish unnamed; listing states no colour/finish"
195,BOS-2608-522-406,PCS,yes,yes,"model: same shared page line 'Size: 110 MM (2608522406)' contains the exact embedded part number; finish: finish unnamed; listing states no colour/finish"
276,DC-DCSM03-100EK,SET,no,yes,"model: NO — full string DCSM03-100EK nowhere in page; title reads 'DCSM03-100 (TYPE DM/EM/FK/Z) - DONGCHENG' and EK occurs nowhere except CSS 'wEEK' false positives, i.e. EK is not among the types this page documents; finish: finish unnamed; no textual finish claims, photo shows blue/black 20V brushless grinder kit with 4.0Ah battery matching display"
120,BOS-0601-227-1L2,UNIT,yes,yes,"model: ordernumber spans '0 601 227 1L2' plus og:title 'PRO GSB 13 RE Impact Drill | Bosch Professional' match BOS-0601-227-1L2/GSB13RE; finish: finish unnamed; no listing colour claims (official image 404, not required for unnamed-finish rule)"
254,STA-HAM-BRU-SBH900M2K,UNIT,yes,yes,"model: canonical 'product/sbh900m2k-b1/20v-brushless-sds-hammer' and body token 'SBH900M2K-B1' match SBH900M2K; finish: finish unnamed; no listing colour claims; photo shows V20 FatMax SDS hammer kit with 4.0Ah battery matching display"
277,PUM-WTR-JHP4-40,UNIT,yes,yes,"model: '<title>JHP 4-40 Water Pump 1.0HP High Pressure Booster | JOVEN</title>' and buy links '?q=JHP4-40' match JHP4-40; finish: finish unnamed; listing claims 'Stainless Steel SUS316 Impellar and SUS304 Housing' consistent with photo"
59,STA-GRI-SCG400-SOLO,UNIT,yes,yes,"model: canonical 'product/scg400-b1/20v-grinder-tool-only' and body token 'SCG400-B1' match SCG400; finish: finish unnamed; no listing colour claims; photo shows grinder (rendered with pack, kit-content nuance outside these two flags)"
29,FAN-STA-KHI-SF1682,SET,yes,yes,"model: meta/body 'KHIND Stand Fan (16"") SF1682SE' contains SF1682 exactly; finish: finish unnamed; page contains no content-level colour claim (only CSS theme tokens), photo grey/white stand fan consistent"
6,SIN-SOR-SRTKS2406,PCS,yes,yes,"model: page title/meta/base all read 'SRTKS2406' matching item code (display_name's trailing SRTS2406 drops the K — display typo only, page SKU exact); finish: yes — display claims SS304, page states 'Stainless Steel 304' twice and Colour field 'Chrome', photo shows brushed stainless bowl"
158,JOV-WAT-FIL-JWP20,PCS,yes,yes,"model: meta 'Discover the JWP20 Water Filter for Home in Malaysia' and canonical jwp20-water-filter.html match JWP20; finish: yes — listing bullet 'SUS 304 Stainless Steel Housing' and photo of stainless housing are consistent"
184,BOS-0611-924-0L1,UNIT,yes,yes,"model: ordernumber spans '0 611 924 0L1' and title 'PRO GBH 185-LI Cordless Rotary Hammer with SDS plus' match BOS-0611-924-0L1/GBH185; finish: finish unnamed; no listing colour claims; photo blue rotary hammer consistent"
208,BOS-0601-068-000,UNIT,yes,yes,"model: title 'PRO GOL 26 D Optical Level' plus ordernumber '0 601 068 000' match BOS-0601-068-000; finish: finish unnamed; no listing colour claims; photo GOL 26D with case and plumb bob consistent"
226,BOS-0611-338-9L1,UNIT,yes,yes,"model: ordernumber span '0 611 338 9L1' plus image alt 'Bosch GSH 5 MX demolition hammer with case and chisel' match BOS-0611-338-9L1/GSH5MX; finish: finish unnamed; no listing colour claims; photo matches"
1933,DC-DCJZ03-13EK-20V,SET,no,yes,"model: NO — full string DCJZ03-13EK never appears; page title 'DCJZ03-13(TYPE EM/DM/EK/Z)' attests EK only as one listed type letter, and the battery-package block lists 'FK: 5.0Ah×2(4A Charger)', 'EM: 4.0Ah×2(2A Charger)', 'DM: 4.0Ah×1(2A Charger)' with no EK row, so the claimed (4.0AH X2/4A) EK config is unverified; finish: finish unnamed; no listing colour claims, photo blue brushless drill with 4.0Ah pack consistent"
2541,BAT-CHA-KENDE-SM1212,UNIT,no,no,"model: NO — cached page and fresh webfetch both return only the anti-bot shell 'Checking your browser… Please wait…' (no product text), so SM1212/Kende never appears in page text (official image banner itself does print 'KENDE SM1212 6/12V DIGITAL BATTERY CHARGER', supporting but not qualifying); finish: NO — listing text unreadable behind the check, so absence of a conflicting finish claim cannot be certified"
2522,FAN-TAB-KDK-KB-304,PCS,yes,yes,"model: '<title>KB-304 - KDK Fans Malaysia</title>' plus featured image product-mobile_Table-Fans_KB-304.png match KB-304; finish: finish unnamed; page carries no content-level colour claim, photo grey table fan consistent"
3252,SWI-PLU-MK-654-13A,PCS,yes,yes,"model: h1/title 'MK 654 13Amp Plug Top [SIRIM] (White)' match MK 654 13A; finish: yes — page claims '(White)' and photo shows a white 3-pin plug top with SIRIM sticker"
4349,SWI-LAM-HOL-SE220E-E27,PCS,yes,yes,"model: '<title>SE-220 E27 Batten Lamp Holder / Socket Light Bulb Holder c/w Base (White)</title>' matches SE-220 E27 holder; finish: yes — page claims '(White)' and photo shows a white batten holder with base"
3183,GUM-HAR-30,SET,yes,yes,"model: page title '3 TON METALWELD EPOXY COMPOUND HE 30 … Hardex Corporation Sdn Bhd' gives HE 30 (= HAR-30); official image packaging also printed 'HE-30'; finish: finish unnamed in display_name; packaging 'COLOR: GREY' is consistent with a metal epoxy compound, no conflict"
4627,FAS-BOL-EXP-OAC130-M8X90X50,PCS,yes,yes,"model: '<title>BRAIN OAC130 M8x90x50 Expansion Eye Bolt | Li Fong Hardware</title>' matches OAC130 M8X90X50; finish: finish unnamed; listing states no finish claim, photo eye bolt stamped BRAINM8 consistent"
