source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
558,NIP-QSH-EXT-5L-A,CAN,5L Nippon Q-shield Extra Accent Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
789,NIP-QGL-1L-D,TIN,1L Nippon Q-glo Deep Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
649,ELE-CAB-FLE-C70763CW-ROLL,ROLL,Taicon 70/076 X Flexible Tube,Electrical,Taicon,3CORE,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
513,NIP-9000-GF-5L-P,CAN,5L Nippon 9000 Gf Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
943,BOS-0601-1A9-5L0,UNIT,Gbm 350 Drill,Power Tools,Bosch,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
883,NIP-FLO-5L-P,CAN,5L Nippon Floor Coating Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
618,RAINBOW-G888-1KG-999,BTL,1KG Nippon Gold Paint 999 Gold,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
323,SHO-SOR-SRTSA850-RG,PCS,Sorento 450MM Shower Arm 450MM (rs+mb),Bathroom,Sorento,SRTSA850-RG,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
818,SHO-SAN-SWP-SH-601,SET,Saniware Premier ABS Rain Shower Head With Arm,Bathroom,Saniware,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
674,BAS-SOR-SRTBK7003-HP,PCS,Sorento S/s Basket Satin - SRTBK7003-HP,Housewares,Sorento,SRTBK7003-HP,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
675,BAS-SOR-SRTBK7004-HP,PCS,Sorento S/s Basket Satin - SRTBK7004-HP,Housewares,Sorento,SRTBK7004-HP,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
683,BOS-2608-585-594,PCS,Hss-g Metal Bit 15MM,Power Tools,Bosch,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
351,GRA-SAN-SWFG-SS304-6603,PCS,Saniware Floor Grating (150X150MM) SWFG-SS304-6603,Bathroom,Saniware,150X150MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
722,NIP-WTRB-1L-A,CAN,1L Nippon Weatherbond Quartz Accent Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
718,NIP-WTRB-1L-T,CAN,1L Nippon Weatherbond Quartz Tint Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
751,BOS-2608-585-905,PCS,Hss-g Cobal Bit 13.0MM,Power Tools,Bosch,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
769,NIP-SAT-GLO-1L-P,CAN,1L Nippon Satin Glo Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
790,NIP-QSH-EXT-1L-T,TIN,1L Nippon Q-shield Extra Tint Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
635,NIE-SOC-IMP-DEE-1/2-22MM,PCS,Nietz Deep Impact Socket (6PT) 50142022 22MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
651,NIE-SOC-IMP-DEE-1/2-19MM,PCS,Nietz Deep Impact Socket (6PT) 50142019 19MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
666,NIE-SOC-IMP-DEE-1/2-16MM,PCS,Nietz Deep Impact Socket (6PT) 50142016 16MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
934,CLI-BAT-CLI-200AMP-54101200,SET,Nietz Battery Clamp 54101200,Hand Tools,Nietz,200AMP,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
707,TOO-AXE-GLO-1.25LB,PCS,Glotool Axe 1.1/4LB,Power Tools,Glotool,1.1/4LB,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
834,BOS-2608-578-123,PCS,Masonry Drill Bit 14MM X,Power Tool Accessories,Bosch,90/150MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
923,DRI-SDS-GT02-18260,PCS,Glotool Sds Drill 18 X 260MM,Power Tool Accessories,Glotool,GT-A02,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
