source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
4976,"FAS-RIV-PAT-1/8""X3/8""-PCK",PCK,pass,n/a,yes,"Page quotes variant ""Blind Rivet (Jaguar): T/PC 1/8 X 3/8"" on sonichardware.com.my Jaguar distributor page; pixels show Jaguar-brand rivet boxes; img 449x542px 159KB jpeg no thumbnail transform"
6227,FAS-RIV-PAT-3/16X1/2-PCK,PCK,pass,n/a,yes,"Page quotes variant ""Blind Rivet (Jaguar): T/PC 3/16 X 1/2"" on same Jaguar blind-rivet page; pixels show Jaguar rivet boxes; img 449x542px 159KB jpeg no thumbnail transform"
3367,"CLI-HOS-GP-5""",PCS,fail,no,no,"Page is ""Teco Stainless Steel Hose Clip"" listing only TECO-MAH-*/TECO-HAS-* mm-range stock codes (e.g. TECO-HAS-127 76-127); no 5"" or GP model string present so model unconfirmed; img 500x350px 28KB jpeg"
3946,"CLI-HOS-GP-2.3/4""",PCS,fail,no,no,"Same Tecoline hose-clip page shows only TECO-MAH/HAS mm-range codes; no 2.3/4"" or GP string present so model unconfirmed; img 500x350px 28KB jpeg"
5681,"ACE-NUTS-1/2""X38MM",PCS,fail,n/a,yes,"Page confirms ACE Brand Hexagon Long Nut size row ""LN-1/2'' (38mm)"" but fetched image measures only 456x456px (<500px long edge) despite new_width=1200 request; 38KB jpeg"
3132,HHD-FLU-M0676-L110W-40MM,PCS,pass,yes,yes,"Techplas OEM page title/SKU ""FAO-L110-W"" with ""40mm/50mm Flapper Outlet Valve (White Lever Handle)""; pixels show white-lever flapper outlet valve; img 1000x1000px 267KB jpeg"
3496,ELE-D/L-MGM-MQTL2048-4000K,PCS,pass,yes,yes,"Megaman official LED EYE BALL page quotes models ""MQTL2048-CL 5W""/""MQTL2048 7W"" and CCT ""(3000K/ 4000K& 6500K)"" proving 4000K; pixels show eyeball downlights; img 800x800px 39KB jpeg"
4166,GER-PLUG-BP8ES,PCS,pass,yes,yes,"Niterra Malaysia (NGK OEM) estore title/product ""BP8ES NGK Standard Nickel For Yamaha RXZ 135..."" proves model and Standard Nickel finish; pixels show NGK official-store plug box; img 1024x1024px 35KB webp"
5575,TOO-DRV-MAG-M845,PCS,fail,no,no,"Page product is ""MS0845 1PCS 8 x 45MM Magnetic Socket / Soket Magnet for Drill""; literal model ""M845"" absent from page text (only MS0845) so sibling-by-prefix mismatch; img 1200x1200px 521KB jpeg"
4225,CUT-DIS-MARK-12300-P120,PCS,pass,no,yes,"Mr Mark Tools OEM page quotes ""MK-WEL-12300 'MASTER' FIBRE DISC (100mm / 4"")"" Reference: MK-WEL-12300 so 12300 present; P120 grit not stated on page so finish unproven; img 750x750px 185KB jpeg from page gallery"
4123,SWI-SOC-ULT-M0813MG,PCS,pass,yes,yes,"reTOUCH Ultra Rimless page quotes code ""M0813MG - 13A Flat Pin Switch Socket C/W Neon"" under Matte Grey category; pixels show matte-grey small-rocker socket with neon; img 1000x1009px 31KB webp"
4121,SWI-SOC-ULT-M0813BMG,PCS,fail,yes,yes,"Page quotes code ""M0813BMG - 13A Flat Pin Big Rocker Switch Socket"" but candidate hero image pixels show the small-rocker c/w-neon M0813MG variant, not the big-rocker BMG; img 1000x1009px 31KB webp"
4462,SWI-ADA-MS-PT09,PCS,fail,n/a,yes,"Yuan Ming OEM page title ""MORRIES Travel Adaptor - MS-PT09"" with Model: MS-PT09 confirmed but brief supplies no official_image_url so image cannot be verified"
4405,BAT-PSN-LIT3V-CR-1616/5BE,PCS,fail,n/a,n/a,"esales.com.my Maxell CR1616 page returns HTTP 401 to both fetchers (page text unverifiable) and brief supplies no official_image_url"
3008,DOR-HAN-CH608-NA-R,PCS,fail,n/a,yes,"IBX page confirms ""CH-608 CASEMENT HANDLE (R/L)"" FINISHING SILVER/WHITE/BLACK/BROWN but brief supplies no official_image_url so image cannot be verified"
1719,PAI-SPR-PMT-004,CAN,fail,n/a,no,"Sonic Hardware page confirms brand product ""Paint Master Spray Paint"" with colour list but no PMT-004 model token appears in page text and brief supplies no official_image_url"
3034,HOS-CON-EG4111-40200017,PCS,fail,n/a,yes,"SK Hardware page title/description confirm ""ECOGREEN EG4111 HOSE CONNECTOR 1/2''"" (Brand Ecogreen) but brief supplies no official_image_url so image cannot be verified"
2793,CUT-DEW-DW4790,PCS,fail,n/a,yes,"DeWalt official OEM page confirms ""DW4790"" 4-in x 0.060-in wet/dry tile diamond blade but brief supplies no official_image_url so image cannot be verified"
3726,CUT-ELE-EDM-4060,PCS,fail,n/a,yes,"HomePro MY page title/specs confirm ""FLAP DISC GOLD ELEPHANT 100 X6.0 MM METAL (EDM-4060)"" but brief supplies no official_image_url so image cannot be verified"
3183,GUM-HAR-30,SET,pass,n/a,yes,"Hardex Corporation OEM page ""3 TON METALWELD EPOXY COMPOUND HE 30"" quotes packing ""HE 30 - 56.8g Tube Carded""; pixels show Hardex HE-30 twin-tube pack; img 328x590px 244KB png"
2734,HAR-BON-NAIL-RS880-75G,PCS,fail,n/a,yes,"JTH Hardware page confirms ""RS-880 BONDING NAIL"" Model: RS-880 Size: 75G under HARDEX but brief supplies no official_image_url so image cannot be verified"
