source_position,item_code,uom,display_name,category,detected_brand,detected_model,gemini_decision,agree,finish_exact,model_exact,gemini_reason,action,hint_source,hint_page,hint_image,hint_status,pilot_page
1,JOV-WAT-HEA-SL30IP-BLK-RS,PCS,Joven (black) Instant Water Heater SL30IP-RS,Home Appliances,Joven,SL30IP-RS,candidate,yes,yes,yes,"Exact Malaysian model page, SKU, black rendering, RS accessories and 3.6kW specs; sibling RS/non-RS explicitly eliminated.",carry_forward,priority50_forensic,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/5/1/5101501002-1.jpg,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html
2,JOV-WAT-HEA-SL30IP-BLK,PCS,Joven (black) Instant Water Heater SL30IP,Home Appliances,Joven,SL30IP,pending,yes,no,yes,Model page is exact but candidate gate fails exact black image/finish proof.,search,priority50_forensic,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,,pending,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html
3,JOV-WAT-HEA-SL30IP-WHI,PCS,Joven (white) Instant Water Heater SL30IP,Home Appliances,Joven,SL30IP,candidate,yes,yes,yes,Exact product page plus model-specific white asset and non-RS accessory fingerprint.,carry_forward,priority50_forensic,https://www.joven-electric.com/my/sl30ip-instant-water-heater-5101401.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/s/l/sl30ip_white_2026-2_1.jpg,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html
4,JOV-WAT-HEA-SL30IP-WHI-RS,PCS,Joven (white) Instant Water Heater SL30IP-RS,Home Appliances,Joven,SL30IP-RS,pending,yes,no,yes,Exact model is known but exact white image/finish is not proven.,search,priority50_forensic,https://www.joven-electric.com/my/sl30ip-rs-instant-water-heater-5101501.html,,pending,https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html
5,JOV-WAT-HEA-SA20E,PCS,Joven Instant Water Heater,Home Appliances,Joven,SA20E,candidate,yes,yes,yes,Exact model entry and model-specific image on official Malaysian series page; candidate below exceptional confidence due single-source/category dependency.,carry_forward,priority50_forensic,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/s/a/sa20e_-_feature_image_2026.jpg,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html
6,SIN-SOR-SRTKS2406,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTS2406,Kitchen & Sinks,Sorento,SRTS2406,pending,yes,no,yes,Exact family model present but source-name/technology ambiguity is material.,search,priority50_forensic,https://sorento.com.my/,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=94,pending,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf
7,JOV-WAT-HEA-SA8E,PCS,Joven SA8E Instant Water Heater,Home Appliances,Joven,SA8E,candidate,yes,yes,yes,Exact model entry and model-specific official asset; candidate at 95 due category-page dependence.,carry_forward,priority50_forensic,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html,https://www.joven-electric.com/media/catalog/product/cache/0bde81fe0c905f83e0b9fd7fea6ccbea/5/1/511801001-1.jpg,candidate,https://www.joven-electric.com/my/products/instant-water-heater/sa-series.html
8,SIN-SOR-SRTKS2408,PCS,Sorento S/s 304 Kitchen Sink Ultrasonic Nano Tech SRTKS2408,Kitchen & Sinks,Sorento,SRTKS2408,pending,yes,no,yes,Exact 2408 page item exists but source mapping remains material.,search,priority50_forensic,https://sorento.com.my/,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf#page=95,pending,https://www.sorento.com.my/media/attachments/2024/09/19/sorento-catalog-2024.pdf
9,TOI-TRP-WC-2122A-P,SET,Saniware Washdown Two-piece Closet WC-2122A-P180MM,Bathroom,Saniware,WC-2122A-P180MM,pending,yes,yes,no,Closest official page proves sibling but not exact source variant.,search,priority50_forensic,https://saniware.com/product/wc-2122a-s300/,,pending,https://saniware.com/product-category/water-closet/page/8/
10,TOI-TRP-WC2110A-P,SET,Saniware Washdown Two-piece Closet WC-2110A-P180MM,Bathroom,Saniware,WC-2110A-P180MM,pending,yes,yes,no,Closest official page proves sibling but not exact source variant.,search,priority50_forensic,https://saniware.com/product/wc-2110a-s200/,,pending,https://saniware.com/product-category/water-closet/page/8/
