item_code,uom,deepseek_decision,gemini_decision,agree,finish_exact,model_exact,rights_status,reason,human_action
JOV-WAT-HEA-SL30IP-BLK-RS,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SL30IP-BLK-RS; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
JOV-WAT-HEA-SL30IP-BLK,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: official Joven Malaysia page 5101401 confirms exact non-RS SL30iP model in Matt Black with slider bar accessories (RS overhead shower excluded); exact image sl30ip_black_2026_1.jpg verified.,Preserve verified non-RS black official asset for evidence manifest; publication permission remains required.
JOV-WAT-HEA-SL30IP-WHI,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SL30IP-WHI; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
JOV-WAT-HEA-SL30IP-WHI-RS,PCS,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for JOV-WAT-HEA-SL30IP-WHI-RS; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
JOV-WAT-HEA-SA20E,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SA20E; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SIN-SOR-SRTKS2406,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SIN-SOR-SRTKS2406; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
JOV-WAT-HEA-SA8E,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SA8E; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SIN-SOR-SRTKS2408,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for SIN-SOR-SRTKS2408; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC-2122A-P,SET,pending,pending,yes,yes,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC-2122A-P; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC2110A-P,SET,pending,pending,yes,yes,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC2110A-P; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
JOV-WAT-HEA-SL30E-WHI-RS,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for JOV-WAT-HEA-SL30E-WHI-RS; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SHO-SAN-SWP-BSP-9003G,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SAN-SWP-BSP-9003G; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SHO-SAN-SWP-BSP-9003RG,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SAN-SWP-BSP-9003RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TAP-SAN-SWP-RG-304-3905,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-RG-304-3905; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
FAN-CEI-DEKA-CF5DCL46MB12,UNIT,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for FAN-CEI-DEKA-CF5DCL46MB12; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
ELE-BUL-E27-3W-RED,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-BUL-E27-3W-RED; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-2521,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-2521; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
JOV-WAT-HEA-SB11IP-BLK-RS,PCS,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for JOV-WAT-HEA-SB11IP-BLK-RS; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
RUB-TAE11-M330,UNIT,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for RUB-TAE11-M330; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
STA-ROT-HAM-SHR263KA,UNIT,pending,pending,yes,yes,unresolved,needs_permission,Reverified pending: fail-closed upheld for STA-ROT-HAM-SHR263KA; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-3023,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-3023; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
OVEN-RUB-TAE13-M266,UNIT,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for OVEN-RUB-TAE13-M266; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
KHI-COO-RC3636,SET,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for KHI-COO-RC3636; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SHO-SOR-SRTSA830,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSA830; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
SHO-SOR-SRTSA860-GM,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for SHO-SOR-SRTSA860-GM; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
JOV-WAT-HEA-SB11IP-WHI,PCS,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for JOV-WAT-HEA-SB11IP-WHI; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-SS-304-3940-RG,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-SS-304-3940-RG; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
TOI-TRP-WC2300-S,SET,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TOI-TRP-WC2300-S; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
FAN-STA-KHI-SF1682,SET,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: official Khind Malaysia page confirms exact Stand Fan (16) SF1682SE in Winter Grey; exact product asset SF1682SE_BG_white verified without sibling substitution.,Preserve verified official asset for evidence manifest; publication permission remains required.
ELE-BUL-E27-15W-RED,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for ELE-BUL-E27-15W-RED; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-3213,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-3213; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,pending,pending,yes,unresolved,unresolved,needs_permission,Reverified pending: fail-closed upheld for JOV-WAT-HEA-SL30IP-WHI-AWB; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TOI-TRP-WC2098RL-S,SET,pending,pending,yes,yes,unresolved,needs_permission,Reverified pending: fail-closed upheld for TOI-TRP-WC2098RL-S; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
SIN-SOR-SRTKS2429-BL,PCS,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for SIN-SOR-SRTKS2429-BL; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-2934,PCS,pending,pending,yes,unresolved,yes,needs_permission,Reverified pending: fail-closed upheld for TAP-SAN-SWP-B-2934; no exact live official manufacturer asset verified.,Keep pending until official manufacturer image is supplied.
TAP-SAN-SWP-B-2931,PCS,candidate,candidate,yes,yes,yes,needs_permission,Reverified candidate: live official product page and exact image asset confirmed for TAP-SAN-SWP-B-2931; exact model and finish matched; rights marked needs_permission.,Preserve verified official asset for evidence manifest; publication permission remains required.
