"source_position","item_code","uom","researcher_decision","official_product_page","official_image_url","image_px_w","image_px_h","image_bytes","model_exact","finish_exact","match_confidence","tiers_run","queries_log","pages_log","notes"
"283","IND-CEM-50KGS","BAG","reject","","","","","","","","","T1,T3","q:'Portland Limestone Cement' site:ytlcement.my | q:limestone cement OR 'portland composite' site:ytlcement.my","p:https://ytlcement.my/product/portland-cement (200-via-search-cache)","Reopened prior lead: ytlcement.my PDP is OPC Portland Cement CEM I 52.5N only; producer bag range = Castle/Orang Kuat/Mascrete LH/ECOCem; NO Portland Limestone Cement product anywhere on Malayan Cement/YTL sites after two passes; no other MY cement OEM publishes a PLC PDP. no_official_plc_product_page_malaysia"
"206","NIP-PHG-1L-A","CAN","reject","https://www.nipponpaint.com.my/product/platone-high-gloss/","","","","","Platone High Gloss","High Gloss enamel","","T1,T4","q:nipponpaint.com.my 'platone high gloss' 'accent base' OR 'paster base'","p:https://www.nipponpaint.com.my/product/platone-high-gloss/ (200)","Full PDP HTML inspected: single-can line render platone.webp 1000x1000 is the ONLY product image (og:image); body contains no Accent-Base / Paster-Base / base-type strings. Official TDS (uat.nipponpaint.com.my/assets/productdata/TSDS/topcoat/Platone-High-Gloss.pdf) confirms Pack Size 1 Litre / 5 Litres so 1L CAN uom is real, but base variants are neither named nor imaged on any OEM surface; both base SKUs would share one render (sibling-SKU / FAMILY-HERO? -> bar-5 fail). oem_publishes_line_level_imagery_only"
"104","X-ELE-LED-FFL-CHA-10W","PCS","reject","","","","","","","","","none-new","","","No new queries run; prior tier-1/T3 evidence conclusive and reused: taicon.com.my DNS NXDOMAIN, taicon.com is unrelated capacitor maker, marketplace/wholesaler presence only. Brand has no official website so no compliant source can exist. no_official_taicon_website"
"215","NIP-PHG-1L-P","CAN","reject","https://www.nipponpaint.com.my/product/platone-high-gloss/","","","","","Platone High Gloss","High Gloss enamel","","T1,T4","q:nipponpaint.com.my 'platone high gloss' 'accent base' OR 'paster base'","p:https://www.nipponpaint.com.my/product/platone-high-gloss/ (200)","Same finding as pos 206: PDP carries only shared line render platone.webp 1000x1000; Paster-Base string absent from PDP body and official TDS (pack sizes 1L/5L confirmed there, base names not); sibling-base SKU shares identical imagery (bar-5 fail). oem_publishes_line_level_imagery_only"
"68","ELE-BUL-B22-3W-RED","PCS","reject","","","","","","","","","none-new","","","No new queries run; prior evidence reused: Taicon has no official website (DNS NXDOMAIN), no B22 listing on any official source; social/marketplace links excluded by rules. no_official_taicon_website"
"83","ELE-CAB-WIR-MKK-2.5MM-RED","ROLL","reject","","","","","","MKK PVC insulated cable 2.5MM 1C","Red","","T1,T3","q:""MKK"" cable 2.5mm 7/0.49mm manufacturer Malaysia official website","","No MKK manufacturer/OEM site exists (reconfirmed this pass); only trace is buatanmalaysia.com reseller listing whose single jpg MKK-INSULATED-CABLE.jpg is a group shot of the entire size/colour matrix -> multi-product group shot (bar-5 fail); platform is not a verifiable authorised distributor; order codes ELC-CBL-MKK-2.5X1CX100M-RED confirm size/colour scheme only. commodity_cable_no_brand_site"
"130","NIP-MAT-W9102-18L","DRUM","reject","https://www.nipponpaint.com.my/product/super-matex/","","","","","Super Matex","Matt white","","T1","","p:https://www.nipponpaint.com.my/product/super-matex/ (200)","PDP HTML fully inspected this round: h1 Super Matex + tagline Smooth-matt-finish-for-interior-walls; strings BS-9102 / White / 18L appear NOWHERE on page; sole product image super-matex.webp 1000x1000 single-container render shared across colour SKUs -> FAMILY-HERO? with pos 148 (identical URL); colour code not quotable from any official source (bar-1/bar-6 fail). oem_line_page_only_no_variant_sku_image"
"87","ELE-CAB-WIR-MKK-2.5MM-BLACK","ROLL","reject","","","","","","MKK PVC insulated cable 2.5MM 1C","Black","","T1,T3","q:""MKK"" cable 2.5mm 7/0.49mm manufacturer Malaysia official website","","As pos 83: no OEM site; buatanmalaysia.com group-shot jpg covers all colours incl black (bar-5 fail); not a verifiable authorised-distributor source. commodity_cable_no_brand_site"
"253","BOS-0601-375-6L0","UNIT","reject","https://www.boschtoolservice.com/us/en/boschprof/spareparts/angle-grinder-gws-060-3601C756L0","","","","","GWS 060 (order no 3 601 C75 6L0)","240V blue Professional","","T1,T3","q:""GWS 060"" Bosch angle grinder site:bosch-diy.com","p:https://www.boschtoolservice.com/us/en/boschprof/spareparts/angle-grinder-gws-060-3601C756L0 (200)","Official Bosch global service portal DOES list the tool: title/meta GWS-060---3-601-C75-6L0 | 240 V Angle Grinder Bosch blue Professional; utag JSON product_sku 3601C756L0 - item suffix -6L0 matches MY 240V variant. But page is an Angular SPA with NO product photo (og:image = corporate logo; only exploded-parts API); bosch-diy angle-grinder category lacks GWS 060; absent from bosch-pt.com.my per prior passes. Model string quotable yet no compliant image exists. oem_listing_without_product_image"
"136","ELE-CAB-WIR-MKK-1.5MM-BLACK","ROLL","reject","","","","","","MKK PVC insulated cable 1.5MM 1C","Black","","T1,T3","q:""MKK"" cable 2.5mm 7/0.49mm manufacturer Malaysia official website","","Same MKK query set as pos 83/87 covers 1.5MM family: no manufacturer site; buatanmalaysia.com group-shot jpg spans 1.5MM-25MM all colours (bar-5 fail); distributor order codes ELC-CBL-MKK-1.5X1CX100M-* are textual only. commodity_cable_no_brand_site"
"115","ELE-D/L-MEG-FE2155D-18W-3000K","PCS","pending","https://megaman.com.my/product/plce-energy-saving-bulb/","https://megaman.com.my/wp-content/uploads/2020/12/Untitled-5-1.jpg","595","595","","FD2155D (page table) = FE2155D (item/trade spelling)","3000K warm white (page prints 3000K/6500K)","medium","T2,T3","q:megaman ""FE2155D"" OR ""FD2155D"" PLCE 3U 18W E27","p:https://megaman.com.my/product/plce-energy-saving-bulb/ (200)","Lead nearly closed: official Megaman MY PDP spec table quotes FD2155D | 18W | PF 0.5 | 1000lm | 3000K/6500K | E27 | DIM 45x140; MY distributors (JLL Electrical jllelectrical.com.my, ESL Trade esltrade.com.my) spell FE2155D for the identical 18W E27 PLCE 3U 3000K/6500K spec set -> one-letter transcription variance treated as same SKU; gallery hero Untitled-5-1.jpg (wp-post-image 595x595) shows the bulb alone. HOLD: BYTE CHECK UNRUNNABLE - sandbox egress stalls all direct TLS (python urllib AND curl exceeded max-time; control host nipponpaint.com.my stalled too, so megaman.com.my is not bot-walled, local network is blocked). Re-run byte check next sitting from unblocked env; expect 200 image/jpeg >=20000 bytes then promote to candidate"
"148","NIP-MAT-15245-18L","DRUM","reject","https://www.nipponpaint.com.my/product/super-matex/","","","","","Super Matex","Matt Maxtwhite","","T1","","p:https://www.nipponpaint.com.my/product/super-matex/ (200)","PDP inspected: 15245 / Maxtwhite / 18L strings absent; sole image super-matex.webp 1000x1000 shared with pos 130 -> FAMILY-HERO? pair (identical URL for two different colour SKUs); colour code not printable from official sources (trade spells Maxi-White); bar-1/bar-6 fail. oem_line_page_only_no_variant_sku_image"
