source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
398,BOS-0601-388-5L0,UNIT,Gws Angle Grinder 7-100ET,Power Tools,Bosch,7-100ET,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Source order/suffix differs from official GWS 7-100 page; exact variant mapping unresolved.,open
753,"FAN-CEI-KDK-K14RH-EY-56""",PCS,Kdk DC Motor Ceiling FAN-56 (grey),Fans & Ventilation,,FAN-56,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
793,TAP-SOR-SRTKT1871SS,PCS,Sorento Pil Mou Kitc Tap Diameter Spout (double),Plumbing,Sorento,SRTKT1871SS,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
303,BAS-SOR-SRTWT7203,PCS,Sorento High Basin Cold Tap SRTWT7203,Bathroom,Sorento,SRTWT7203,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Dealer page is SRTWT7203-BL while source is uncoloured SRTWT7203; page was connection-verified and image not preserved.,open
451,BOS-86-AA106,UNIT,High Pressure Cleaner 100 BAR,Power Tools,Bosch,8IGHTY6IX,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
308,BAS-SOR-SRTWB1409,PCS,Sorento Wash Basin SRTWB1409 L415XW415XH135MM,Bathroom,Sorento,SRTWB1409,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Dealer page is SRTWB1409-BL, not source uncoloured SRTWB1409; exact source image not preserved.",open
311,BAS-SOR-SRTWB1086,PCS,Sorento Table Top Basin,Bathroom,Sorento,SRTWB1086,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
313,TOW-SOR-SRT764-24-RG,PCS,Sorento Moveable Towel Shelf 600MM (rg+mb),Bathroom,Sorento,SRT764-24-RG,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Exact image URL not preserved.,open
489,STA-JIG-SJ60,UNIT,Stanley Jigsaw 600W - SJ60,Power Tools,Stanley,SJ60,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
852,TAP-SIN-SRTKT67SS-BL,PCS,Sorento Pillar Mounted Kitchen Cold Tap-matt Blk,Plumbing,Sorento,SRTKT67SS-BL,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
497,STA-JIG-SJ45,UNIT,Stanley Jigsaw 450W - SJ45,Power Tools,Stanley,SJ45,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
914,TAP-SAN-SWP-SS-304-3939-MB,PCS,Saniware Premier Dou S/tap,Plumbing,Saniware,SWP-SS-304-3939-MB,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
